,CustomerID,recency_days,frequency,monetary_funds,avg_order_value,avg_basket_size,total_quantity,unique_products,unique_invoices,tenure_days,most_common_hour,most_common_weekday,last_purchase_month
0,12346,263,1,77183.6,77183.6,74215.0,74215,1,1,0,10,1,1
1,12347,67,5,2790.86,22.506935483870965,12.82258064516129,1590,82,5,237,14,1,8
2,12348,13,4,1797.24,57.97548387096774,75.51612903225806,2341,22,4,282,19,3,9
3,12350,248,1,334.40000000000003,19.67058823529412,11.588235294117647,197,17,1,0,16,2,2
4,12352,10,7,2194.31,31.347285714285714,5.8428571428571425,409,47,7,224,14,1,9
5,12353,142,1,89.0,22.25,5.0,20,4,1,0,17,3,5
6,12354,170,1,1079.4,18.610344827586204,9.137931034482758,530,58,1,0,13,3,4
7,12355,152,1,459.40000000000003,35.33846153846154,18.46153846153846,240,13,1,0,13,0,5
8,12356,183,2,2753.08,48.29964912280702,27.82456140350877,1586,53,2,80,9,1,4
9,12358,88,1,484.86,40.404999999999994,8.333333333333334,100,12,1,0,10,1,7
10,12359,127,3,3495.73,24.445664335664336,6.748251748251748,965,135,3,141,14,0,6
11,12360,50,2,1618.28,21.57706666666667,8.986666666666666,674,63,2,88,9,0,8
12,12361,225,1,189.9,18.990000000000002,9.1,91,10,1,0,13,4,2
13,12362,10,5,2577.34,17.774758620689656,8.655172413793103,1255,121,5,223,12,3,9
14,12363,47,2,552.0,24.0,17.73913043478261,408,23,2,132,13,0,8
15,12364,16,2,703.72,19.547777777777778,20.444444444444443,736,34,2,34,15,4,9
16,12365,229,2,641.38,29.15363636363636,7.909090909090909,174,22,2,0,13,0,2
17,12370,212,3,2806.41,20.189999999999998,14.194244604316546,1973,125,3,85,12,1,3
18,12372,9,3,1298.04,24.962307692307697,15.26923076923077,794,34,3,224,12,2,9
19,12373,249,1,364.6,26.042857142857144,14.071428571428571,197,14,1,0,13,1,2
20,12375,36,1,230.3,20.936363636363637,7.909090909090909,87,11,1,0,14,4,9
21,12377,253,2,1628.1200000000001,21.144415584415583,12.25974025974026,944,72,2,39,9,0,1
22,12378,67,1,4008.62,18.30420091324201,11.547945205479452,2529,219,1,0,10,1,8
23,12379,19,2,852.24,21.306,10.175,407,39,2,88,10,0,9
24,12380,16,2,1233.56,19.274375,9.109375,583,52,2,107,9,1,9
25,12381,57,1,1268.74,20.463548387096775,9.161290322580646,568,62,1,0,9,4,8
26,12383,122,5,1850.56,18.69252525252525,15.474747474747474,1532,84,5,167,14,2,6
27,12384,59,1,292.69,20.90642857142857,4.428571428571429,62,14,1,0,11,2,8
28,12386,275,2,401.9,40.190000000000005,35.4,354,10,2,29,9,2,1
29,12388,13,5,2494.26,27.11152173913044,13.456521739130435,1238,56,5,251,11,3,9
30,12390,17,1,549.84,17.1825,11.03125,353,32,1,0,9,2,9
31,12393,10,4,1582.6000000000001,24.728125000000002,12.75,816,47,4,260,9,2,9
32,12394,1,2,1272.48,47.12888888888889,30.333333333333332,819,26,2,153,14,4,10
33,12395,4,9,2246.25,19.878318584070797,15.460176991150442,1747,78,9,304,16,4,10
34,12397,73,1,1214.81,17.354428571428567,10.057142857142857,704,70,1,0,14,2,7
35,12399,57,4,1108.65,18.790677966101697,19.966101694915253,1178,47,4,142,10,1,8
36,12401,241,1,84.3,16.86,2.2,11,5,1,0,13,2,2
37,12402,261,1,225.60000000000002,20.509090909090908,8.545454545454545,94,11,1,0,13,3,1
